old_path,new_path,lossy_truncated,ext_missing
kdischool_eng/files/1._EA_B3_B5_EA_B3_A0_EB_AC_B8__EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BDv2.docx,kdischool_eng/files/1.공고문_인쇄업체등록및계약v2.docx,False,False
kdischool_eng/files/1._EA_B3_B5_EA_B3_A0_EB_AC_B8__EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BDv2.hwp,kdischool_eng/files/1.공고문_인쇄업체등록및계약v2.hwp,False,False
kdischool_eng/files/1._EA_B3_B5_EA_B3_A0_EB_AC_B8__EC_B5_9C_EC_A2_85_EC_83_81_EC_8B_A0.docx,kdischool_eng/files/1.공고문_최종상신.docx,False,False
kdischool_eng/files/1._EA_B3_B5_EA_B3_A0_EB_AC_B8__EC_B5_9C_EC_A2_85_EC_83_81_EC_8B_A0.hwp,kdischool_eng/files/1.공고문_최종상신.hwp,False,False
kdischool_eng/files/1._EC_84_A4_EB_AA_85_ED_9A_8Cdocx.docx,kdischool_eng/files/1.설명회docx.docx,False,False
kdischool_eng/files/1._EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BD_EA_B3_B5_EA_B3_A0.docx,kdischool_eng/files/1.인쇄업체등록및계약공고.docx,False,False
kdischool_eng/files/1._EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BD_EA_B3_B5_EA_B3_A0.hwp,kdischool_eng/files/1.인쇄업체등록및계약공고.hwp,False,False
kdischool_eng/files/1._EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BD_EA_B3_B5_EA_B3_A0_28_EC_88_98_EC_A0_95_29_2019.docx,kdischool_eng/files/1.인쇄업체등록및계약공고(수정) 19.docx,False,False
kdischool_eng/files/1._EC_9D_B8_EC_87_84_EC_97_85_EC_B2_B4_EB_93_B1_EB_A1_9D_EB_B0_8F_EA_B3_84_EC_95_BD_EA_B3_B5_EA_B3_A0_28_EC_88_98_EC_A0_95_29_2019.hwp,kdischool_eng/files/1.인쇄업체등록및계약공고(수정) 19.hwp,False,False
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8.hwp,kdischool_eng/files/1.입찰공고문.hwp,False,False
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2023_EB_85_84_EA_B3_A0_EC_9C_84_EC_A0_95_EC_B1_85_EC_A0_84_EB_9E_B5_EA_B3_BC_EC_A0_95_ED_95_B4_EC_99_B8_EC_97_B0_EC_88_98.docx,kdischool_eng/files/1.입찰공고문 23년고위정책전략과정해외연수.docx,False,False
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2023_EB_85_84_EA_B3_A0_EC_9C_84_EC_A0_95_EC_B1_85_EC_A0_84_EB_9E_B5_EA_B3_BC_EC_A0_95_ED_95_B4_EC_99_B8_EC_97_B0_EC_88_98.hwp,kdischool_eng/files/1.입찰공고문 23년고위정책전략과정해외연수.hwp,False,False
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2023_EB_85_84_EA_B3_A0_EC_9C_84_EC_A0_95_EC_B1_85_EC_A0_84_EB_9E_B5_EA_B3_BC_EC_A0_95_ED_95_B4_EC_99_B8_EC_97_B0_EC_88_98__EC_9E_AC_,kdischool_eng/files/1.입찰공고문 23년고위정책전략과정해외연수_재_.hwp,False,True
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2023_EB_85_84_EB_8F_84_ED_95_99_EC_82_AC_EC_8B_9C_EC_8A_A4_ED_85_9C_EA_B3_A0_EB_8F_84_ED_99_94_28_EA_B5_AD_EA_B0_80_EA_B2_BD_EC_98_8,kdischool_eng/files/1.입찰공고문 23년도학사시스템고도화(국가경_8.hwp,True,True
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2023_EB_85_84_ED_95_98_EA_B3_84_EA_B5_AD_EC_A0_9C_ED_9B_88_EB_A0_A8_EC_9C_84_ED_83_81_EC_9A_A9_EC_97_AD_28KDI_EB_8C_80_ED_95_99_EC_9,kdischool_eng/files/1.입찰공고문 23년하계국제훈련위탁용역(KDI대학_9.hwp,True,True
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_2024_EB_85_84_ED_95_98_EA_B3_84_EA_B5_AD_EC_A0_9C_ED_9B_88_EB_A0_A8_EC_9C_84_ED_83_81_EC_9A_A9_EC_97_AD_28KDI_EB_8C_80_ED_95_99_EC_9,kdischool_eng/files/1.입찰공고문 24년하계국제훈련위탁용역(KDI대학_9.hwp,True,True
kdischool_eng/files/1._EC_9E_85_EC_B0_B0_EA_B3_B5_EA_B3_A0_EB_AC_B8_282025_EB_85_84_EA_B3_A0_EC_9C_84_EC_A0_95_EC_B1_85_EC_A0_84_EB_9E_B5_EA_B3_BC_EC_A0_95_ED_95_B4_EC_99_B8_EC_97_B0_EC_88_98_29.docx,kdischool_eng/files/1.입찰공고문(2025년고위정책전략과정해외연수).docx,False,False
