kind	path	issues
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/수도권매립지관리공사_통합반입관리_반입협의_기준251130_.csv	invalid_utf8:invalid continuation byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/경기도_광주시_버스노선정보_20250505.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국전력공사_사업소별_연료_사용내역_20251231.csv	invalid_utf8:invalid continuation byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_계양구_화물자동차운송주선사업허가업체_20260713.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국전력거래소_연료원별_시간대별_설비용량_및_전력거래량_2025_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/수도권매립지관리공사_통합반입관리_연탄재반입정보_260531.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/사회안전에_대한_인식_20241231.csv	invalid_utf8:invalid start byte@2,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산광역시_해운대구_키즈카페_현황_20260720.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/2021년_1월_10월_서울시_연료원별_일별_전력거래량_자료.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/대구광역시_외국인전용_유흥음식점업_업체_현황_2026_2분기.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국토지주택공사_판매제이율_변동_내역_20260401.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/수도권매립지관리공사_통합반입관리_토사반입정보_260715.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_시지정문화유산현황_260701.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/경기도_광주시_공공건축물_현황_20260630.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국전력공사_사업소별_월별_에너지_사용내역_상세__20251231.csv	invalid_utf8:invalid continuation byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산광역시해운대구_행정동별_빈집수.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/임대주택_단지별_연령대별_성별정보.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/원인별_연안사고_현황_25년_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산도시공사_공공주택사업_현황.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산광역시_건축사사무소_현황__20260715_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/경기도_광주시_아파트_현황_20250831.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천옹징군_체류자격별_외국인수.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_계양구_지방세납세자현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산광역시_도시공간정보시스템_도로시설_육교__20260723.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/불법조업_외국어선_직접_인계_현황_2025년_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/수도권매립지관리공사_통합반입관리_음폐수_260531.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_행정구역_현황_20250101.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/관서별_연안사고_현황_25년_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국토지주택공사_서울시_구별_공공임대주택_유형별_주택_수_20191231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/해양경찰청_부산시_선박출입항_현황_20211231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_계양구_인천시비지정문화재_20220607.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/gov_policy_reports/files/개인정보처리방침이력_20180326.html	invalid_utf8:invalid start byte@0,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/gov_policy_reports/files/개인정보처리방침이력_20180628.html	invalid_utf8:invalid start byte@0,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/데이터바우처_지원사업_참여기업_수.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국전력공사_산업용_계약전력_구간별_현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국도로교통공단_가해운전자_당사자종별_연령대별_교통사고_통계_2024_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/관리대상_교량_계측기_설치_현황_사장교.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/중소벤처기업진흥공단_온라인수출대행사업_지원업체_20260727.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/산업통상부_제조업_경기실사지수동향_20260630.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/부산광역시_사상구_특수의료장비_현황_20260721.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/환경성적표지_평가계수_240906.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/K2B_시스템_사용자_정보.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/충청남도_천안시_교통정보_CCTV_20260310.csv	invalid_utf8:invalid start byte@4,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국전력공사_주택용_계약전력_구간별_현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국전력공사_사업소별_전력_계약_및_사용_정보_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/온라인수출플랫폼에_등록된_국가별_해외_바이어_통계_자료_20260709.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_진료수가정보_20191231_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/경로탐색내역.csv	invalid_utf8:invalid start byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건의료인국가시험원_성적_현황_보건의료정보관리사_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/보건복지부_장애인복지관_현황_20240425.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건산업진흥원_추천키워드.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국가스공사_인천기지_연도별_경상정비용_위험물_관리현황_20260707.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/내일채움공제_가입기업_연도별_업종별_현황_2026_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/보건복지부_지역아동센터_현황_20241231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_소속병원진료현황통계_소속병원_산재입원환자_요양기간별_현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/국민영양통계_다빈도음식의_식품섭취량.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건의료인국가시험원_용어사전.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국도로교통공단_가해운전자_연령층별_월별_교통사고_통계_2024_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/서울교통공사_역사_화장실_오염도_측정_결과_20260611.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/보건복지부_전국_지역보건의료기관_현황_20221231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국가스공사_에너지원별_에너지_소비량_20201231_수정.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/서울교통공사_물품보관함_설치수량_20260630.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/02_농가경영_경영체.csv	invalid_utf8:invalid continuation byte@2,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국환경산업기술원_대표_홈페이지_홍보_정보_260721.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/교량위치지도.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_소속병원진료현황통계_산재병원별_산재진료현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국가스공사_경상정비_공기구_현황_20260707.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/부산광역시_사상구_종량제봉투_판매업소현황_20260723.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국전력공사_사업소별_연료_사용내역_20251231.csv	invalid_utf8:invalid continuation byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/부산광역시_사상구_어선등록현황_20260420.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/KIER_Patent_List.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건의료인국가시험원_연도별_법률자문_현황.csv	invalid_utf8:invalid start byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/서울교통공사_잠실광역환승센터_버스노선_현황_20260715.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/서울교통공사_물품보관함_위치정보_20260630.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/신재생자원지도데이터_태양자원_천리안2호_수평면전일사량.csv	invalid_utf8:invalid start byte@3,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/기획재정부_원달러_및_원위안_환율_시계열_자료_250820.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/교차로교통량_20260326_cp949.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/경찰청_거짓말탐지_검사_처리_현황_2016_2025.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/전북특별자치도_고창군_일반화물자동차운송사업자현황_20260520.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건의료인국가시험원_성적_현황_보건교육사_3급_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국가스공사_인천기지_연도별_부취하역일정_이력현황_20260713.csv	invalid_utf8:invalid continuation byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_소속병원진료현황통계_급여별_환자진료인원_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/연구보고서_개방목록.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/인천광역시_시지정문화유산현황_260701.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/2._한국환경공단_폐자원에너지_사용시설_처리실적_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/인천광역시_노인_주거복지시설_현황_2023.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/경찰청_사이버범죄_세부유형별_발생_검거현황_20231231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_산재보험_성별_연령별_고용신고_현황_2022_2024.10.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국도로교통공단_최근_5년_교통사고_통계_2024_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국전력공사_사업소별_월별_에너지_사용내역_상세__20251231.csv	invalid_utf8:invalid continuation byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/보건복지부_시군구별_치매현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/중소벤처기업진흥공단_고비즈코리아_공장정보_20260713.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/6._한국환경공단_폐자원에너지_제조사용수입통계_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/기후에너지환경부_국립환경과학원_골프장_농약_잔류량_조사_DB_20241231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국가스공사_인천기지_재난대응장비_보유현황_20260707.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/중소벤처기업진흥공단_이어드림_나이별_선별현황_20260728.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_소속병원진료현황통계_연도별_건강진단_및_작업환경_측정_현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/부산광역시_사상구_급경사지_정보_20260722.CSV	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/중소벤처기업진흥공단_지역특화_주력_산업.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/서울교통공사_잠실광역환승센터_월별_수송인원_20260630.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/3._한국환경공단_폐자원에너지_수입시설_검사현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/전북특별자치도_고창군_어촌계현황.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/경찰청_시도청별_월별_어린이보호구역내_어린이_교통사고_2025.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/재경부_조세조약_체결_현황_260720.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/반도체디스플레이_산업_동향_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/근로복지공단_산재병원별_환자진료실적_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건산업진흥원_외국인환자_유치기관_현황.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국데이터산업진흥원_데이터바우처_사업관리_가공기업_정보.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국환경공단_도로_재비산먼지_측정_정보_20260625_cng.csv	invalid_utf8:invalid continuation byte@1,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/2026년_데이터안심구역_미개방데이터_목록_257종__26.5월말_기준.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/석면조사대상건축물현황_20260602.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국보건의료인국가시험원_MOU체결현황.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/전북특별자치도_고창군_어장도현황_20260604.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/data_go_kr/files/한국도로교통공단_가해운전자_연령층별_교통사고_통계_2024_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
